City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,San Nicolas,PH,2022-11-22 21:10:48,18.1725,120.5953,78.42,81,98,3.8
68,Goderich,CA,2022-11-22 21:10:49,43.7501,-81.7165,39.9,73,76,12.39
69,Qaanaaq,GL,2022-11-22 21:10:49,77.484,-69.3632,7.27,80,96,5.88
70,Kahului,US,2022-11-22 21:10:49,20.8947,-156.47,82.42,66,20,21.85
71,Butaritari,KI,2022-11-22 21:10:49,3.0707,172.7902,81.72,77,84,12.01
72,Hobart,AU,2022-11-22 21:10:50,-42.8794,147.3294,53.46,58,20,17.27
73,Mareeba,AU,2022-11-22 21:10:50,-17.0,145.4333,75.43,88,24,3.83
74,Leningradskiy,RU,2022-11-22 21:10:50,69.3833,178.4167,-11.58,93,100,9.35
75,Provideniya,RU,2022-11-22 21:10:51,64.3833,-173.3,14.11,57,100,22.37
76,Mataura,NZ,2022-11-22 21:10:51,-46.1927,168.8643,58.48,40,0,8.08
77,Owando,CG,2022-11-22 21:10:51,-0.4819,15.8999,70.59,98,90,2.82
78,Necochea,AR,2022-11-22 21:10:52,-38.5473,-58.7368,62.56,41,0,5.1
79,Yellowknife,CA,2022-11-22 21:10:52,62.456,-114.3525,25.47,94,100,11.23
80,Saskylakh,RU,2022-11-22 21:10:52,71.9167,114.0833,-36.69,100,35,1.41
81,Krasnoselkup,RU,2022-11-22 21:10:53,65.7,82.4667,-23.98,99,54,8.46
82,Arman,RU,2022-11-22 21:10:53,59.7,150.1667,6.21,81,100,14.58
83,Jalu,LY,2022-11-22 21:10:53,29.0331,21.5482,62.53,53,0,6.13
84,Vardo,NO,2022-11-22 21:10:54,70.3705,31.1107,33.78,93,100,1.14
85,Aljezur,PT,2022-11-22 21:10:54,37.3191,-8.8033,64.47,92,100,12.17
86,Noumea,NC,2022-11-22 21:08:04,-22.2763,166.4572,82.0,99,95,4.14
87,Banda Aceh,ID,2022-11-22 21:10:54,5.5577,95.3222,77.86,83,92,8.05
88,Meulaboh,ID,2022-11-22 21:10:55,4.1363,96.1285,75.15,90,97,4.74
89,Kununurra,AU,2022-11-22 21:10:55,-15.7667,128.7333,76.98,94,100,4.61
90,Mar Del Plata,AR,2022-11-22 21:10:55,-38.0023,-57.5575,68.83,65,0,8.05
91,Quang Ngai,VN,2022-11-22 21:10:56,15.1167,108.8,75.61,92,99,1.95
92,Ust-Nera,RU,2022-11-22 21:11:56,64.5667,143.2,-13.11,99,100,3.06
93,Sao Felix Do Xingu,BR,2022-11-22 21:11:56,-6.6447,-51.995,77.92,75,82,2.91
94,Susanville,US,2022-11-22 21:11:57,40.4163,-120.653,48.81,54,0,0.0
95,San Antero,CO,2022-11-22 21:11:57,9.3741,-75.7589,81.03,83,100,5.7
96,Thompson,CA,2022-11-22 21:11:57,55.7435,-97.8558,23.77,95,99,5.21
97,Sembe,CG,2022-11-22 21:11:23,1.6481,14.5806,71.44,84,30,2.71
98,Mildura,AU,2022-11-22 21:09:24,-34.2,142.15,55.08,84,18,8.39
99,Codrington,AU,2022-11-22 21:11:58,-38.2667,141.9667,53.08,83,100,11.16
100,Ranong,TH,2022-11-22 21:11:58,9.9658,98.6348,76.37,90,100,4.29
101,Palu,ID,2022-11-22 21:11:58,-0.8917,119.8707,75.65,90,100,1.79
102,Castro,BR,2022-11-22 21:11:59,-24.7911,-50.0119,69.87,77,50,3.0
103,Kasulu,TZ,2022-11-22 21:09:19,-4.5767,30.1025,60.58,94,82,1.95
104,Oriximina,BR,2022-11-22 21:11:59,-1.7656,-55.8661,90.72,44,100,2.82
105,Krasnyy,RU,2022-11-22 21:11:59,54.5678,31.4333,26.15,97,100,5.48
106,Evensk,RU,2022-11-22 21:12:00,61.95,159.2333,11.44,67,100,29.3
107,Kieta,PG,2022-11-22 21:12:00,-6.2167,155.6333,82.0,75,100,3.83
108,Portel,BR,2022-11-22 21:12:00,-1.9356,-50.8211,85.62,58,83,2.57
109,Rio Grande,BR,2022-11-22 21:12:01,-32.035,-52.0986,68.11,78,82,8.16
110,Tilichiki,RU,2022-11-22 21:12:01,60.4667,166.1,11.07,94,100,14.34
111,Yakeshi,CN,2022-11-22 21:12:01,49.2833,120.7333,-8.27,100,42,0.92
112,Longyearbyen,SJ,2022-11-22 21:12:01,78.2186,15.6401,35.44,75,75,17.27
113,Tarko-Sale,RU,2022-11-22 21:12:02,64.9225,77.785,-21.75,98,31,9.1
114,Saint George,US,2022-11-22 21:12:02,37.1041,-113.5841,58.42,24,0,3.44
115,Leshan,CN,2022-11-22 21:12:03,29.5623,103.7639,61.07,74,100,2.04
116,Mount Gambier,AU,2022-11-22 21:12:03,-37.8333,140.7667,51.73,87,98,6.58
117,Katsuura,JP,2022-11-22 21:12:03,35.1333,140.3,57.22,83,100,17.18
118,Horta,PT,2022-11-22 21:08:55,38.5333,-28.6333,64.02,88,75,12.66
119,San Gabriel,US,2022-11-22 21:12:04,34.0961,-118.1058,78.19,16,0,3.44
120,Price,US,2022-11-22 21:08:11,39.5994,-110.8107,44.11,22,0,4.61
121,Jamestown,US,2022-11-22 21:11:08,42.097,-79.2353,44.24,42,0,11.5
122,Poli,TZ,2022-11-22 21:12:04,-3.3333,36.8,60.69,85,53,2.68
123,Namibe,AO,2022-11-22 21:12:05,-15.1961,12.1522,74.82,66,55,4.5
124,Haines Junction,CA,2022-11-22 21:12:05,60.7522,-137.5108,30.6,93,100,2.33
125,Bredasdorp,ZA,2022-11-22 21:12:05,-34.5322,20.0403,61.16,80,95,4.45
126,Mizdah,LY,2022-11-22 21:12:06,31.4451,12.9801,53.33,31,78,10.07
127,Dingle,PH,2022-11-22 21:12:06,10.9995,122.6711,75.11,93,75,5.59
128,Fort Nelson,CA,2022-11-22 21:12:06,58.8053,-122.7002,36.95,66,22,3.0
129,Talnakh,RU,2022-11-22 21:12:07,69.4865,88.3972,-20.02,98,100,1.7
130,Saint-Francois,FR,2022-11-22 21:12:07,46.4154,3.9054,40.44,81,0,4.61
131,Tual,ID,2022-11-22 21:12:07,-5.6667,132.75,84.61,67,86,3.83
132,Artyom,AZ,2022-11-22 21:11:12,40.4723,50.333,60.94,63,100,28.1
133,Hasaki,JP,2022-11-22 21:12:08,35.7333,140.8333,57.22,72,100,16.11
134,Ust-Maya,RU,2022-11-22 21:12:08,60.4167,134.5333,-24.03,99,100,1.52
135,Komsomolskiy,UZ,2022-11-22 21:12:08,40.4272,71.7189,39.92,93,100,6.91
136,Progreso,MX,2022-11-22 21:12:09,21.2833,-89.6667,80.71,78,96,8.03
